review_id,customer_id,product_id,rating,review_text,review_date
1,38,92,1,Suggest career few nothing.,2024-05-17 12:52:15
2,33,64,2,Work black no weight threat course.,2024-06-16 02:26:00
3,41,99,2,Light government make kind.,2024-01-02 12:10:38
4,4,8,5,Administration pressure all southern travel certainly.,2024-04-10 07:55:17
5,40,59,2,Interest politics practice prove do to wrong.,2024-03-21 08:30:23
6,25,33,5,Me high Republican.,2024-05-20 22:37:44
7,90,36,3,Exist consider police ever wife.,2024-07-01 11:36:39
8,76,60,1,Suddenly act attack real expert within.,2024-07-03 01:40:06
9,29,28,5,Authority Congress sometimes production.,2024-06-01 01:36:07
10,8,33,2,Outside his clearly us.,2024-08-15 19:39:40
11,88,54,4,Despite alone wife place everyone.,2024-03-07 03:51:24
12,80,49,4,Everything long indeed ability.,2024-01-16 23:52:19
13,89,26,5,Education work recent from.,2024-02-02 23:06:13
14,44,44,1,Church teacher remember.,2024-05-22 12:40:06
15,54,48,1,Future election behavior beautiful past result herself according.,2024-01-27 14:44:32
16,26,27,1,Anything yeah present ten.,2024-08-18 05:33:31
17,82,49,1,Exist manage note large who special.,2024-06-28 08:44:00
18,78,41,3,Why how able.,2024-02-28 01:58:02
19,77,13,3,Table prove officer year yet no situation.,2024-02-28 15:06:51
20,85,31,1,Reason statement break.,2024-07-11 18:25:43
21,19,99,2,Level building environmental affect.,2024-07-19 02:57:30
22,46,49,5,Type defense difficult seat any.,2024-05-01 16:08:58
23,66,99,5,Magazine stage build thing story manager cultural.,2024-05-26 11:39:19
24,9,55,3,School consumer fill story state.,2024-07-21 10:10:59
25,5,64,1,Election news force effect.,2024-05-31 21:16:23
26,67,29,1,Recognize official professor this.,2024-06-03 22:05:31
27,92,35,4,Own skin century number catch over.,2024-03-25 21:37:55
28,98,40,5,General blue that such month become decision hair.,2024-07-15 20:04:23
29,25,51,2,Tree task weight shoulder explain gas tell animal.,2024-06-24 02:39:56
30,67,45,3,Tax never street discussion.,2024-04-22 18:24:58
31,67,82,5,Town along someone.,2024-07-06 05:50:50
32,40,73,4,Enough miss professor kind foot.,2024-06-02 19:16:48
33,58,3,2,Movie like high stop remain in hair quality.,2024-08-27 13:34:25
34,5,25,3,Service computer experience pass tend.,2024-07-06 23:10:58
35,35,35,5,Let police consumer keep form.,2024-03-16 02:17:39
36,12,4,4,Me short action special history which sit he.,2024-06-01 06:42:47
37,57,73,1,Class by make job.,2024-03-08 10:06:43
38,3,37,5,Network it prevent letter nation.,2024-08-05 00:57:45
39,30,39,4,Heart item avoid score your like.,2024-06-05 04:29:58
40,14,74,4,Able trouble government role.,2024-08-01 08:56:26
41,62,95,4,Hope else natural guy.,2024-01-09 06:10:24
42,68,28,1,Discover officer before the degree tax.,2024-06-23 11:11:36
43,73,16,4,Cost although material car whole those food.,2024-07-09 19:05:25
44,94,9,2,Consumer project role why.,2024-01-19 08:46:48
45,90,41,5,General forget understand work production score.,2024-06-19 07:16:15
46,17,83,5,Only sea husband fire.,2024-02-26 05:51:26
47,84,1,4,Particularly back land but between.,2024-05-21 03:01:52
48,19,70,4,Week behavior happy become partner.,2024-01-19 19:53:13
49,25,97,4,Too operation alone say just matter feel.,2024-01-27 23:28:13
50,19,61,1,Federal word too rock concern.,2024-08-05 19:30:51
51,58,28,2,Degree suggest determine economic.,2024-04-18 14:24:00
52,34,60,3,Bill increase book.,2024-07-04 18:52:55
53,68,3,5,Positive resource nor phone raise create sense.,2024-02-06 16:34:05
54,20,50,5,Off than last article deal.,2024-08-27 21:51:26
55,19,28,2,Future successful bring half.,2024-06-06 09:47:07
56,50,15,1,Garden yet Republican moment cultural kind want.,2024-07-07 00:42:09
57,72,87,5,Magazine long decision.,2024-01-14 16:59:47
58,47,85,4,Purpose image win particular me always suffer.,2024-06-06 17:05:25
59,63,12,3,Memory road of some key nearly.,2024-03-03 20:29:07
60,64,49,5,Front something site experience main rest exactly.,2024-02-20 05:34:22
61,40,98,2,Begin base experience rich build heavy price.,2024-03-19 04:49:16
62,70,16,5,Behavior tree realize chair assume choose eat.,2024-06-24 16:22:25
63,99,79,5,Smile street style couple.,2024-06-26 05:18:33
64,67,62,4,Character wonder sport station.,2024-02-08 09:32:19
65,2,96,1,Apply friend type study argue stuff itself force.,2024-05-02 05:45:08
66,91,8,5,Food unit without best organization instead standard easy.,2024-07-19 03:58:15
67,30,42,4,Against appear southern.,2024-04-06 11:56:51
68,93,54,5,From build suddenly tree skin.,2024-08-04 14:23:32
69,60,47,5,Out car although trip brother control.,2024-03-25 19:48:20
70,31,100,3,Debate wonder guy between.,2024-07-21 05:31:09
71,3,89,5,Important eat explain film effort.,2024-02-22 02:19:04
72,61,31,3,Economy ball system add nature.,2024-03-21 16:33:55
73,1,46,4,Station together suffer every.,2024-01-17 16:53:22
74,74,58,4,Wait sign community reality new light.,2024-02-21 23:37:37
75,69,1,1,Key especially increase price once whole.,2024-02-27 16:44:31
76,83,18,3,Vote media school and production almost.,2024-03-29 07:55:37
77,97,32,4,Available home huge.,2024-06-24 23:27:22
78,85,58,1,Event American week house threat order prepare result.,2024-03-26 12:38:08
79,38,68,3,Spend report whatever change dark.,2024-07-13 01:23:20
80,96,9,4,Participant such property myself.,2024-06-14 06:45:37
81,80,40,4,So rich receive north figure.,2024-08-28 07:10:48
82,4,1,1,Change do admit clear allow detail ready.,2024-07-27 15:06:47
83,74,96,2,Support issue spring can.,2024-03-19 21:41:04
84,12,43,5,Wish recent throw our product.,2024-02-12 07:34:25
85,47,9,5,Same collection down analysis student paper take.,2024-05-26 07:22:17
86,15,79,1,Knowledge environment tell mean deep move final.,2024-06-01 17:22:47
87,74,36,2,Several family accept draw mind catch.,2024-06-09 08:34:29
88,29,35,3,Hair chair role along well dog it.,2024-03-12 10:35:33
89,43,51,1,Knowledge world dinner.,2024-03-03 23:49:06
90,49,27,1,Area during single time themselves must.,2024-06-03 04:27:35
91,58,5,3,Human catch kitchen.,2024-04-18 21:58:00
92,3,13,4,Skill history task south religious.,2024-04-15 03:47:51
93,21,93,4,Increase teacher recent along significant explain.,2024-02-21 04:17:57
94,29,45,5,Including beat about company.,2024-08-30 14:07:29
95,63,68,2,Kitchen social all tax fly wish.,2024-09-02 21:18:13
96,10,18,3,Year finish take throw dinner on.,2024-06-06 10:50:05
97,59,88,4,Month impact account ever early before.,2024-02-17 22:04:49
98,84,70,3,Nice over nothing cultural sort more product none.,2024-03-11 21:39:15
99,1,6,1,Role news mind case boy month size.,2024-07-29 11:31:43
100,17,58,1,Property member land finish rest event significant street.,2024-04-03 12:41:44
